case_id,evidence_code,evidence_name,required,available,source,quality,critical,why,missing_impact,contradiction,privacy
SYN-016,transaction.receipt,交易收据,YES,YES,SYNTHETIC_MERCHANT_SYSTEM,SIMULATED,YES,证明交易金额、时间和商户主体,,,仅记录类型与是否存在，不存原值
SYN-016,billing.refund_record,退款记录,YES,YES,SYNTHETIC_MERCHANT_SYSTEM,SIMULATED,YES,证明退款发起、金额、时间与状态,,,仅记录类型与是否存在，不存原值
SYN-016,policy.terms_refund,条款与退款政策,YES,YES,SYNTHETIC_MERCHANT_SYSTEM,SIMULATED,CONTEXTUAL,证明交易时披露并同意的规则,,,仅记录类型与是否存在，不存原值
SYN-016,comms.customer,客户沟通,YES,YES,SYNTHETIC_MERCHANT_SYSTEM,SIMULATED,CONTEXTUAL,还原投诉、补救与时间线,,,仅记录类型与是否存在，不存原值
SYN-017,transaction.receipt,交易收据,YES,YES,SYNTHETIC_MERCHANT_SYSTEM,SIMULATED,YES,证明交易金额、时间和商户主体,,,仅记录类型与是否存在，不存原值
SYN-017,billing.refund_record,退款记录,YES,YES,SYNTHETIC_MERCHANT_SYSTEM,SIMULATED,YES,证明退款发起、金额、时间与状态,,,仅记录类型与是否存在，不存原值
SYN-017,policy.terms_refund,条款与退款政策,YES,NO_OR_NOT_DISCLOSED,NOT_DISCLOSED,UNKNOWN,CONTEXTUAL,证明交易时披露并同意的规则,可能降低可抗辩性或触发人工复核,,仅记录类型与是否存在，不存原值
SYN-017,comms.customer,客户沟通,YES,YES,SYNTHETIC_MERCHANT_SYSTEM,SIMULATED,CONTEXTUAL,还原投诉、补救与时间线,,,仅记录类型与是否存在，不存原值
SYN-018,transaction.receipt,交易收据,YES,YES,SYNTHETIC_MERCHANT_SYSTEM,SIMULATED,YES,证明交易金额、时间和商户主体,,,仅记录类型与是否存在，不存原值
SYN-018,billing.refund_record,退款记录,YES,YES,SYNTHETIC_MERCHANT_SYSTEM,SIMULATED,YES,证明退款发起、金额、时间与状态,,,仅记录类型与是否存在，不存原值
SYN-018,policy.terms_refund,条款与退款政策,YES,YES,SYNTHETIC_MERCHANT_SYSTEM,SIMULATED,CONTEXTUAL,证明交易时披露并同意的规则,,,仅记录类型与是否存在，不存原值
SYN-018,comms.customer,客户沟通,YES,YES,SYNTHETIC_MERCHANT_SYSTEM,SIMULATED,CONTEXTUAL,还原投诉、补救与时间线,,,仅记录类型与是否存在，不存原值
SYN-019,transaction.receipt,交易收据,YES,YES,SYNTHETIC_MERCHANT_SYSTEM,SIMULATED,YES,证明交易金额、时间和商户主体,,,仅记录类型与是否存在，不存原值
SYN-019,subscription.cancellation_record,取消记录,YES,YES,SYNTHETIC_MERCHANT_SYSTEM,SIMULATED,YES,界定取消与扣款先后,,,仅记录类型与是否存在，不存原值
SYN-019,policy.terms_refund,条款与退款政策,YES,YES,SYNTHETIC_MERCHANT_SYSTEM,SIMULATED,CONTEXTUAL,证明交易时披露并同意的规则,,,仅记录类型与是否存在，不存原值
SYN-019,comms.customer,客户沟通,YES,YES,SYNTHETIC_MERCHANT_SYSTEM,SIMULATED,CONTEXTUAL,还原投诉、补救与时间线,,,仅记录类型与是否存在，不存原值
SYN-020,transaction.receipt,交易收据,YES,YES,SYNTHETIC_MERCHANT_SYSTEM,SIMULATED,YES,证明交易金额、时间和商户主体,,,仅记录类型与是否存在，不存原值
SYN-020,subscription.cancellation_record,取消记录,YES,YES,SYNTHETIC_MERCHANT_SYSTEM,SIMULATED,YES,界定取消与扣款先后,,,仅记录类型与是否存在，不存原值
SYN-020,policy.terms_refund,条款与退款政策,YES,NO_OR_NOT_DISCLOSED,NOT_DISCLOSED,UNKNOWN,CONTEXTUAL,证明交易时披露并同意的规则,可能降低可抗辩性或触发人工复核,,仅记录类型与是否存在，不存原值
SYN-020,comms.customer,客户沟通,YES,YES,SYNTHETIC_MERCHANT_SYSTEM,SIMULATED,CONTEXTUAL,还原投诉、补救与时间线,,,仅记录类型与是否存在，不存原值
SYN-021,transaction.receipt,交易收据,YES,YES,SYNTHETIC_MERCHANT_SYSTEM,SIMULATED,YES,证明交易金额、时间和商户主体,,,仅记录类型与是否存在，不存原值
SYN-021,subscription.cancellation_record,取消记录,YES,NO_OR_NOT_DISCLOSED,NOT_DISCLOSED,UNKNOWN,YES,界定取消与扣款先后,可能降低可抗辩性或触发人工复核,,仅记录类型与是否存在，不存原值
SYN-021,policy.terms_refund,条款与退款政策,YES,YES,SYNTHETIC_MERCHANT_SYSTEM,SIMULATED,CONTEXTUAL,证明交易时披露并同意的规则,,,仅记录类型与是否存在，不存原值
SYN-021,comms.customer,客户沟通,YES,YES,SYNTHETIC_MERCHANT_SYSTEM,SIMULATED,CONTEXTUAL,还原投诉、补救与时间线,,,仅记录类型与是否存在，不存原值
SYN-022,transaction.receipt,交易收据,YES,YES,SYNTHETIC_MERCHANT_SYSTEM,SIMULATED,YES,证明交易金额、时间和商户主体,,,仅记录类型与是否存在，不存原值
SYN-022,auth.avs_result,AVS结果,YES,YES,SYNTHETIC_MERCHANT_SYSTEM,SIMULATED,CONTEXTUAL,核对账单地址验证结果,,,仅记录类型与是否存在，不存原值
SYN-022,auth.cvv_result,CVV结果,YES,YES,SYNTHETIC_MERCHANT_SYSTEM,SIMULATED,CONTEXTUAL,核对卡背码验证结果,,,仅记录类型与是否存在，不存原值
SYN-022,auth.threeds,3DS认证,YES,NO_OR_NOT_DISCLOSED,NOT_DISCLOSED,UNKNOWN,YES,核对强认证与责任转移,可能降低可抗辩性或触发人工复核,,仅记录类型与是否存在，不存原值
SYN-023,transaction.receipt,交易收据,YES,YES,SYNTHETIC_MERCHANT_SYSTEM,SIMULATED,YES,证明交易金额、时间和商户主体,,,仅记录类型与是否存在，不存原值
SYN-023,auth.avs_result,AVS结果,YES,YES,SYNTHETIC_MERCHANT_SYSTEM,SIMULATED,CONTEXTUAL,核对账单地址验证结果,,,仅记录类型与是否存在，不存原值
SYN-023,auth.cvv_result,CVV结果,YES,YES,SYNTHETIC_MERCHANT_SYSTEM,SIMULATED,CONTEXTUAL,核对卡背码验证结果,,,仅记录类型与是否存在，不存原值
SYN-023,auth.threeds,3DS认证,YES,NO_OR_NOT_DISCLOSED,NOT_DISCLOSED,UNKNOWN,YES,核对强认证与责任转移,可能降低可抗辩性或触发人工复核,,仅记录类型与是否存在，不存原值
SYN-024,transaction.receipt,交易收据,YES,YES,SYNTHETIC_MERCHANT_SYSTEM,SIMULATED,YES,证明交易金额、时间和商户主体,,,仅记录类型与是否存在，不存原值
SYN-024,auth.avs_result,AVS结果,YES,NO_OR_NOT_DISCLOSED,NOT_DISCLOSED,UNKNOWN,CONTEXTUAL,核对账单地址验证结果,可能降低可抗辩性或触发人工复核,,仅记录类型与是否存在，不存原值
SYN-024,auth.cvv_result,CVV结果,YES,NO_OR_NOT_DISCLOSED,NOT_DISCLOSED,UNKNOWN,CONTEXTUAL,核对卡背码验证结果,可能降低可抗辩性或触发人工复核,,仅记录类型与是否存在，不存原值
SYN-024,auth.threeds,3DS认证,YES,YES,SYNTHETIC_MERCHANT_SYSTEM,SIMULATED,YES,核对强认证与责任转移,,,仅记录类型与是否存在，不存原值
