case_id,step_no,phase,owner,action,output,deadline_rule,escalation
SYN-013,6,PACKAGE,PSP_SUPPORT,按事实时间线打包，去除敏感信息，不把无关材料堆入证据包,证据包可读、可追溯、格式合规,继承案件截止时间,
SYN-013,7,OUTCOME,FINANCE,记录拒付结果=EXPECTED_WON；裁决结果=NOT_APPLICABLE，并核对临时贷记/退款/再扣款,结果层级与资金状态分开落库,继承案件截止时间,
SYN-014,1,INTAKE,PSP_SUPPORT,接收争议通知，记录金额、理由、截止时间与资金状态,案件主键与截止时间已建立,以实际通知为准；示例不声明统一时限,
SYN-014,2,CLASSIFY,TECHNICAL_SUPPORT,核对持卡人主张、交易事实与理由族，识别是否选错理由,理由族已确认或转人工,继承案件截止时间,
SYN-014,3,COLLECT,TECHNICAL_SUPPORT,按清单向商户/内部团队补证，并标记来源、时间和矛盾,证据存在性与缺失项已登记,继承案件截止时间,
SYN-014,4,REVIEW,RISK,检查证据相关性、真实性、格式、页数、金额和时限,形成接受/申诉/升级建议,继承案件截止时间,CONFLICT_OR_WEAK_EVIDENCE
SYN-014,5,DECIDE,TECHNICAL_SUPPORT,建议接受或先补关键证据，避免无效抗辩,保留人工决定与理由,继承案件截止时间,
SYN-014,6,PACKAGE,PSP_SUPPORT,按事实时间线打包，去除敏感信息，不把无关材料堆入证据包,证据包可读、可追溯、格式合规,继承案件截止时间,
SYN-014,7,OUTCOME,FINANCE,记录拒付结果=EXPECTED_LOST；裁决结果=NOT_APPLICABLE，并核对临时贷记/退款/再扣款,结果层级与资金状态分开落库,继承案件截止时间,
SYN-015,1,INTAKE,PSP_SUPPORT,接收争议通知，记录金额、理由、截止时间与资金状态,案件主键与截止时间已建立,以实际通知为准；示例不声明统一时限,
SYN-015,2,CLASSIFY,TECHNICAL_SUPPORT,核对持卡人主张、交易事实与理由族，识别是否选错理由,理由族已确认或转人工,继承案件截止时间,
SYN-015,3,COLLECT,TECHNICAL_SUPPORT,按清单向商户/内部团队补证，并标记来源、时间和矛盾,证据存在性与缺失项已登记,继承案件截止时间,
SYN-015,4,REVIEW,RISK,检查证据相关性、真实性、格式、页数、金额和时限,形成接受/申诉/升级建议,继承案件截止时间,POLICY_REVIEW
SYN-015,5,DECIDE,TECHNICAL_SUPPORT,人工确认后决定是否提交申诉,保留人工决定与理由,继承案件截止时间,
SYN-015,6,PACKAGE,PSP_SUPPORT,按事实时间线打包，去除敏感信息，不把无关材料堆入证据包,证据包可读、可追溯、格式合规,继承案件截止时间,
SYN-015,7,OUTCOME,FINANCE,记录拒付结果=EXPECTED_WON；裁决结果=NOT_APPLICABLE，并核对临时贷记/退款/再扣款,结果层级与资金状态分开落库,继承案件截止时间,
SYN-016,1,INTAKE,PSP_SUPPORT,接收争议通知，记录金额、理由、截止时间与资金状态,案件主键与截止时间已建立,以实际通知为准；示例不声明统一时限,
SYN-016,2,CLASSIFY,FINANCE,核对持卡人主张、交易事实与理由族，识别是否选错理由,理由族已确认或转人工,继承案件截止时间,
SYN-016,3,COLLECT,FINANCE,按清单向商户/内部团队补证，并标记来源、时间和矛盾,证据存在性与缺失项已登记,继承案件截止时间,
SYN-016,4,REVIEW,RISK,检查证据相关性、真实性、格式、页数、金额和时限,形成接受/申诉/升级建议,继承案件截止时间,CONFLICT_OR_WEAK_EVIDENCE
SYN-016,5,DECIDE,FINANCE,人工确认后决定是否提交申诉,保留人工决定与理由,继承案件截止时间,
SYN-016,6,PACKAGE,PSP_SUPPORT,按事实时间线打包，去除敏感信息，不把无关材料堆入证据包,证据包可读、可追溯、格式合规,继承案件截止时间,
SYN-016,7,OUTCOME,FINANCE,记录拒付结果=EXPECTED_PENDING；裁决结果=NOT_APPLICABLE，并核对临时贷记/退款/再扣款,结果层级与资金状态分开落库,继承案件截止时间,
SYN-017,1,INTAKE,PSP_SUPPORT,接收争议通知，记录金额、理由、截止时间与资金状态,案件主键与截止时间已建立,以实际通知为准；示例不声明统一时限,
SYN-017,2,CLASSIFY,FINANCE,核对持卡人主张、交易事实与理由族，识别是否选错理由,理由族已确认或转人工,继承案件截止时间,
SYN-017,3,COLLECT,FINANCE,按清单向商户/内部团队补证，并标记来源、时间和矛盾,证据存在性与缺失项已登记,继承案件截止时间,
SYN-017,4,REVIEW,RISK,检查证据相关性、真实性、格式、页数、金额和时限,形成接受/申诉/升级建议,继承案件截止时间,POLICY_REVIEW
SYN-017,5,DECIDE,FINANCE,人工确认后决定是否提交申诉,保留人工决定与理由,继承案件截止时间,
SYN-017,6,PACKAGE,PSP_SUPPORT,按事实时间线打包，去除敏感信息，不把无关材料堆入证据包,证据包可读、可追溯、格式合规,继承案件截止时间,
SYN-017,7,OUTCOME,FINANCE,记录拒付结果=EXPECTED_WON；裁决结果=NOT_APPLICABLE，并核对临时贷记/退款/再扣款,结果层级与资金状态分开落库,继承案件截止时间,
SYN-018,1,INTAKE,PSP_SUPPORT,接收争议通知，记录金额、理由、截止时间与资金状态,案件主键与截止时间已建立,以实际通知为准；示例不声明统一时限,
SYN-018,2,CLASSIFY,FINANCE,核对持卡人主张、交易事实与理由族，识别是否选错理由,理由族已确认或转人工,继承案件截止时间,
SYN-018,3,COLLECT,FINANCE,按清单向商户/内部团队补证，并标记来源、时间和矛盾,证据存在性与缺失项已登记,继承案件截止时间,
SYN-018,4,REVIEW,RISK,检查证据相关性、真实性、格式、页数、金额和时限,形成接受/申诉/升级建议,继承案件截止时间,POLICY_REVIEW
SYN-018,5,DECIDE,FINANCE,人工确认后决定是否提交申诉,保留人工决定与理由,继承案件截止时间,
SYN-018,6,PACKAGE,PSP_SUPPORT,按事实时间线打包，去除敏感信息，不把无关材料堆入证据包,证据包可读、可追溯、格式合规,继承案件截止时间,
SYN-018,7,OUTCOME,FINANCE,记录拒付结果=EXPECTED_WON；裁决结果=NOT_APPLICABLE，并核对临时贷记/退款/再扣款,结果层级与资金状态分开落库,继承案件截止时间,
SYN-019,1,INTAKE,PSP_SUPPORT,接收争议通知，记录金额、理由、截止时间与资金状态,案件主键与截止时间已建立,以实际通知为准；示例不声明统一时限,
SYN-019,2,CLASSIFY,CUSTOMER_SUPPORT,核对持卡人主张、交易事实与理由族，识别是否选错理由,理由族已确认或转人工,继承案件截止时间,
SYN-019,3,COLLECT,CUSTOMER_SUPPORT,按清单向商户/内部团队补证，并标记来源、时间和矛盾,证据存在性与缺失项已登记,继承案件截止时间,
SYN-019,4,REVIEW,RISK,检查证据相关性、真实性、格式、页数、金额和时限,形成接受/申诉/升级建议,继承案件截止时间,POLICY_REVIEW
SYN-019,5,DECIDE,CUSTOMER_SUPPORT,人工确认后决定是否提交申诉,保留人工决定与理由,继承案件截止时间,
SYN-019,6,PACKAGE,PSP_SUPPORT,按事实时间线打包，去除敏感信息，不把无关材料堆入证据包,证据包可读、可追溯、格式合规,继承案件截止时间,
SYN-019,7,OUTCOME,FINANCE,记录拒付结果=EXPECTED_WON；裁决结果=NOT_APPLICABLE，并核对临时贷记/退款/再扣款,结果层级与资金状态分开落库,继承案件截止时间,
SYN-020,1,INTAKE,PSP_SUPPORT,接收争议通知，记录金额、理由、截止时间与资金状态,案件主键与截止时间已建立,以实际通知为准；示例不声明统一时限,
SYN-020,2,CLASSIFY,CUSTOMER_SUPPORT,核对持卡人主张、交易事实与理由族，识别是否选错理由,理由族已确认或转人工,继承案件截止时间,
SYN-020,3,COLLECT,CUSTOMER_SUPPORT,按清单向商户/内部团队补证，并标记来源、时间和矛盾,证据存在性与缺失项已登记,继承案件截止时间,
SYN-020,4,REVIEW,RISK,检查证据相关性、真实性、格式、页数、金额和时限,形成接受/申诉/升级建议,继承案件截止时间,CONFLICT_OR_WEAK_EVIDENCE
SYN-020,5,DECIDE,CUSTOMER_SUPPORT,建议接受或先补关键证据，避免无效抗辩,保留人工决定与理由,继承案件截止时间,
SYN-020,6,PACKAGE,PSP_SUPPORT,按事实时间线打包，去除敏感信息，不把无关材料堆入证据包,证据包可读、可追溯、格式合规,继承案件截止时间,
SYN-020,7,OUTCOME,FINANCE,记录拒付结果=EXPECTED_LOST；裁决结果=NOT_APPLICABLE，并核对临时贷记/退款/再扣款,结果层级与资金状态分开落库,继承案件截止时间,
SYN-021,1,INTAKE,PSP_SUPPORT,接收争议通知，记录金额、理由、截止时间与资金状态,案件主键与截止时间已建立,以实际通知为准；示例不声明统一时限,
SYN-021,2,CLASSIFY,CUSTOMER_SUPPORT,核对持卡人主张、交易事实与理由族，识别是否选错理由,理由族已确认或转人工,继承案件截止时间,
SYN-021,3,COLLECT,CUSTOMER_SUPPORT,按清单向商户/内部团队补证，并标记来源、时间和矛盾,证据存在性与缺失项已登记,继承案件截止时间,
SYN-021,4,REVIEW,RISK,检查证据相关性、真实性、格式、页数、金额和时限,形成接受/申诉/升级建议,继承案件截止时间,POLICY_REVIEW
SYN-021,5,DECIDE,CUSTOMER_SUPPORT,人工确认后决定是否提交申诉,保留人工决定与理由,继承案件截止时间,
SYN-021,6,PACKAGE,PSP_SUPPORT,按事实时间线打包，去除敏感信息，不把无关材料堆入证据包,证据包可读、可追溯、格式合规,继承案件截止时间,
SYN-021,7,OUTCOME,FINANCE,记录拒付结果=EXPECTED_WON；裁决结果=NOT_APPLICABLE，并核对临时贷记/退款/再扣款,结果层级与资金状态分开落库,继承案件截止时间,
SYN-022,1,INTAKE,PSP_SUPPORT,接收争议通知，记录金额、理由、截止时间与资金状态,案件主键与截止时间已建立,以实际通知为准；示例不声明统一时限,
SYN-022,2,CLASSIFY,PSP_SUPPORT,核对持卡人主张、交易事实与理由族，识别是否选错理由,理由族已确认或转人工,继承案件截止时间,
SYN-022,3,COLLECT,PSP_SUPPORT,按清单向商户/内部团队补证，并标记来源、时间和矛盾,证据存在性与缺失项已登记,继承案件截止时间,
SYN-022,4,REVIEW,RISK,检查证据相关性、真实性、格式、页数、金额和时限,形成接受/申诉/升级建议,继承案件截止时间,CONFLICT_OR_WEAK_EVIDENCE
SYN-022,5,DECIDE,PSP_SUPPORT,建议接受或先补关键证据，避免无效抗辩,保留人工决定与理由,继承案件截止时间,
SYN-022,6,PACKAGE,PSP_SUPPORT,按事实时间线打包，去除敏感信息，不把无关材料堆入证据包,证据包可读、可追溯、格式合规,继承案件截止时间,
SYN-022,7,OUTCOME,FINANCE,记录拒付结果=EXPECTED_LOST；裁决结果=NOT_APPLICABLE，并核对临时贷记/退款/再扣款,结果层级与资金状态分开落库,继承案件截止时间,
SYN-023,1,INTAKE,PSP_SUPPORT,接收争议通知，记录金额、理由、截止时间与资金状态,案件主键与截止时间已建立,以实际通知为准；示例不声明统一时限,
SYN-023,2,CLASSIFY,PSP_SUPPORT,核对持卡人主张、交易事实与理由族，识别是否选错理由,理由族已确认或转人工,继承案件截止时间,
SYN-023,3,COLLECT,PSP_SUPPORT,按清单向商户/内部团队补证，并标记来源、时间和矛盾,证据存在性与缺失项已登记,继承案件截止时间,
SYN-023,4,REVIEW,RISK,检查证据相关性、真实性、格式、页数、金额和时限,形成接受/申诉/升级建议,继承案件截止时间,CONFLICT_OR_WEAK_EVIDENCE
SYN-023,5,DECIDE,PSP_SUPPORT,建议接受或先补关键证据，避免无效抗辩,保留人工决定与理由,继承案件截止时间,
SYN-023,6,PACKAGE,PSP_SUPPORT,按事实时间线打包，去除敏感信息，不把无关材料堆入证据包,证据包可读、可追溯、格式合规,继承案件截止时间,
SYN-023,7,OUTCOME,FINANCE,记录拒付结果=EXPECTED_LOST；裁决结果=NOT_APPLICABLE，并核对临时贷记/退款/再扣款,结果层级与资金状态分开落库,继承案件截止时间,
SYN-024,1,INTAKE,PSP_SUPPORT,接收争议通知，记录金额、理由、截止时间与资金状态,案件主键与截止时间已建立,以实际通知为准；示例不声明统一时限,
SYN-024,2,CLASSIFY,PSP_SUPPORT,核对持卡人主张、交易事实与理由族，识别是否选错理由,理由族已确认或转人工,继承案件截止时间,
SYN-024,3,COLLECT,PSP_SUPPORT,按清单向商户/内部团队补证，并标记来源、时间和矛盾,证据存在性与缺失项已登记,继承案件截止时间,
SYN-024,4,REVIEW,RISK,检查证据相关性、真实性、格式、页数、金额和时限,形成接受/申诉/升级建议,继承案件截止时间,CONFLICT_OR_WEAK_EVIDENCE
SYN-024,5,DECIDE,PSP_SUPPORT,人工确认后决定是否提交申诉,保留人工决定与理由,继承案件截止时间,
SYN-024,6,PACKAGE,PSP_SUPPORT,按事实时间线打包，去除敏感信息，不把无关材料堆入证据包,证据包可读、可追溯、格式合规,继承案件截止时间,
SYN-024,7,OUTCOME,FINANCE,记录拒付结果=EXPECTED_PENDING；裁决结果=NOT_APPLICABLE，并核对临时贷记/退款/再扣款,结果层级与资金状态分开落库,继承案件截止时间,
